company_id,company_name,sector,quarter,revenue,operating_income,net_income,total_assets,total_debt,total_equity,current_assets,current_liabilities,operating_cash_flow,interest_expense,market_cap,stock_return_3m,volatility_3m,volume_change_3m,macro_rate,fx_rate,inflation,business_cycle_index,disclosure_risk_score,rnd_ratio
C001,MockCompany_001,IT,2021Q1,417.6007274764133,82.35156047340526,68.9170485984579,1055.008303243496,305.9382916957669,749.070011547729,791.2562274326219,272.8325258871307,41.736528091126445,4.485837012543624,2127.7558990856464,0.1070888270753799,0.1657337742269514,-0.0505522981456744,1.989440153727869,1193.7457849955774,2.5648353843558165,99.9651075069735,0.4298463778330023,0.0791361016091019
C001,MockCompany_001,IT,2021Q2,428.313712633736,55.36647805709829,40.46907502028369,1066.03204395453,297.91534733801205,768.1166966165179,799.5240329658974,255.26098103382577,34.39207942345905,7.083831678214335,2336.171791209672,0.0979510348031873,0.1467592234169044,0.0923231929477955,2.134934282471854,1213.61206615973,2.5534204342518945,100.82563521437288,0.3675028713711092,0.0754672149182253
C001,MockCompany_001,IT,2021Q3,456.2531423085569,82.0540774801181,60.26853644360179,1125.7990165302265,298.50482865616067,827.2941878740658,844.3492623976699,309.2954826460225,79.62880176448135,5.551265604068573,2519.176493058208,0.0783352930367229,0.2130202452084004,0.1739729354026725,2.190420826969614,1225.0624230306244,2.507457417820354,101.75041965770367,0.4566839869689282,0.0898336808799981
C001,MockCompany_001,IT,2021Q4,450.51820366169073,53.19861959553882,46.45604939382227,1146.2265481028176,296.6284404878437,849.5981076149739,859.6699110771132,277.06559152601045,30.653081894712106,5.069982364575058,2327.621617873085,-0.0760386879255848,0.1709556922747942,-0.0688209327256275,2.2364989081598554,1227.919590850956,2.456848582313809,102.28187900396438,0.170624053161644,0.0821743120196395
C001,MockCompany_001,IT,2022Q1,488.54718190501393,75.38343347131126,62.09543056429381,1204.6821087609087,281.5152622567432,923.1668465041656,903.5115815706816,296.5918674696032,65.3301786493394,6.288899756200239,2841.7498857564447,0.2208813769108894,0.1714988823150859,0.2616873740355829,2.225883332837898,1236.1695768536288,2.382030613325962,102.69151078644764,0.2099573479985184,0.0648640610533092
C001,MockCompany_001,IT,2022Q2,524.2047623833984,87.05414649517817,76.3856019020488,1285.5189198358255,289.0130864236156,996.50583341221,964.1391898768692,288.0767260184346,75.72767688210519,6.030312691677426,3104.8608662084644,0.0925876628941898,0.2175997347177412,0.3722025758230756,2.2079813979886405,1232.604251819164,2.325291239678333,102.98319516656645,0.4752666868871867,0.0789217764787377
C001,MockCompany_001,IT,2022Q3,540.4110775674246,59.20971370010967,36.29354151234946,1298.9508300950606,298.2512864867242,1000.6995436083364,974.2131225712956,282.7451600871754,-7.795770312200965,5.744456955303909,3028.741417251568,-0.0245162189988404,0.04,0.0755085422355531,2.1581666778069946,1228.0604786881363,2.2513323927600744,102.90664020847464,0.2280588357034511,0.0596160684955078
C001,MockCompany_001,IT,2022Q4,563.8292782239832,68.50545210816863,59.61015439792093,1379.1670878844172,329.08942434120326,1050.077663543214,1034.375315913313,324.0469300554926,61.83426055030464,7.920380223522697,2925.729281990985,-0.0340115318771787,0.1419819148371397,0.5440214692658036,2.1040050233037144,1225.809480097077,2.1383654022992475,102.86003261234056,0.226791998116342,0.0909622300934086
C001,MockCompany_001,IT,2023Q1,591.5852773576922,79.76383191969292,68.97900107514087,1407.9772516121388,336.86560863089227,1071.1116429812466,1055.982938709104,353.6011854818432,26.144140839573243,7.506650610564021,3496.5869140417262,0.1951163546007467,0.2175506001091085,-0.0344410835981729,1.9956221031900596,1219.7215010256673,2.0225825098422714,102.26593506849407,0.5159433065089833,0.0807189109615403
C001,MockCompany_001,IT,2023Q2,670.746597984474,146.27408863782696,134.3438411820935,1563.7006873707385,326.8484546704027,1236.8522327003357,1172.7755155280538,411.8299493281361,69.26587800449612,5.594302076409544,4113.405046196782,0.1764057772103457,0.3125985489050973,0.0843882487490574,1.894121446820648,1204.1598182505577,1.9943098283397755,101.6907724687152,0.4465908189915286,0.0187456974742244
